LapDistanceNorm,Speed,Throttle,Brake,Time_seconds,Source,LongAccel,LatAccel,SuspTravel_FL,SuspTravel_FR,SuspTravel_RL,SuspTravel_RR
0.0,320.0,100.0,0.0,0.0,AC_DEMO_SYNTH,-0.0002,0.0001,93.626,93.488,74.901,74.79
0.00056,320.0,100.0,0.0,0.05,AC_DEMO_SYNTH,-0.0002,0.0001,93.089,93.68,74.471,74.944
0.00111,320.0,100.0,0.0,0.1001,AC_DEMO_SYNTH,-0.0002,0.0001,93.805,93.382,75.044,74.706
0.00167,320.0,100.0,0.0,0.1501,AC_DEMO_SYNTH,-0.0003,0.0001,93.881,93.34,75.105,74.672
0.00222,320.0,100.0,0.0,0.2001,AC_DEMO_SYNTH,-0.0003,0.0001,92.724,93.541,74.179,74.833
0.00278,320.0,100.0,0.0,0.2501,AC_DEMO_SYNTH,-0.0003,0.0001,92.984,92.735,74.387,74.188
0.00334,319.99,100.0,0.0,0.3002,AC_DEMO_SYNTH,-0.0004,0.0001,93.553,93.692,74.842,74.954
0.00389,319.99,100.0,0.0,0.3502,AC_DEMO_SYNTH,-0.0004,0.0001,93.375,93.501,74.7,74.801
0.00445,319.99,100.0,0.0,0.4002,AC_DEMO_SYNTH,-0.0005,0.0001,93.495,93.517,74.796,74.814
0.005,319.99,100.0,0.0,0.4503,AC_DEMO_SYNTH,-0.0005,0.0002,93.161,93.885,74.529,75.108
0.00556,319.99,100.0,0.0,0.5003,AC_DEMO_SYNTH,-0.0006,0.0002,93.855,92.72,75.084,74.176
0.00611,319.99,100.0,0.0,0.5503,AC_DEMO_SYNTH,-0.0007,0.0002,93.814,92.712,75.051,74.17
0.00667,319.99,100.0,0.0,0.6003,AC_DEMO_SYNTH,-0.0007,0.0002,93.53,93.611,74.824,74.889
0.00723,319.99,100.0,0.0,0.6504,AC_DEMO_SYNTH,-0.0008,0.0003,93.955,93.498,75.164,74.798
0.00778,319.99,100.0,0.1,0.7004,AC_DEMO_SYNTH,-0.0009,0.0003,93.691,93.569,74.953,74.855
0.00834,319.98,100.0,0.1,0.7504,AC_DEMO_SYNTH,-0.001,0.0003,93.158,93.313,74.526,74.65
0.00889,319.98,100.0,0.1,0.8004,AC_DEMO_SYNTH,-0.0011,0.0004,93.65,93.764,74.92,75.011
0.00945,319.98,100.0,0.1,0.8505,AC_DEMO_SYNTH,-0.0013,0.0004,93.119,93.872,74.495,75.098
0.01001,319.98,100.0,0.1,0.9005,AC_DEMO_SYNTH,-0.0014,0.0005,93.855,93.692,75.084,74.954
0.01056,319.98,100.0,0.1,0.9505,AC_DEMO_SYNTH,-0.0016,0.0005,93.484,93.395,74.787,74.716
0.01112,319.97,100.0,0.1,1.0006,AC_DEMO_SYNTH,-0.0017,0.0006,93.428,92.652,74.742,74.122
0.01167,319.97,100.0,0.1,1.0506,AC_DEMO_SYNTH,-0.0019,0.0006,93.23,93.804,74.584,75.043
0.01223,319.97,100.0,0.1,1.1006,AC_DEMO_SYNTH,-0.0021,0.0007,93.992,93.985,75.194,75.188
0.01278,319.96,100.0,0.1,1.1506,AC_DEMO_SYNTH,-0.0023,0.0008,93.439,93.751,74.751,75.001
0.01334,319.96,100.0,0.2,1.2007,AC_DEMO_SYNTH,-0.0026,0.0009,93.331,93.141,74.665,74.513
0.0139,319.95,100.0,0.2,1.2507,AC_DEMO_SYNTH,-0.0029,0.001,93.36,93.76,74.688,75.008
0.01445,319.95,100.0,0.2,1.3007,AC_DEMO_SYNTH,-0.0032,0.0011,93.715,93.835,74.972,75.068
0.01501,319.94,100.0,0.2,1.3508,AC_DEMO_SYNTH,-0.0035,0.0012,93.646,94.111,74.917,75.289
0.01556,319.93,100.0,0.2,1.4008,AC_DEMO_SYNTH,-0.0039,0.0013,93.664,93.134,74.931,74.507
0.01612,319.93,100.0,0.3,1.4508,AC_DEMO_SYNTH,-0.0043,0.0015,93.673,93.394,74.938,74.715
0.01668,319.92,100.0,0.3,1.5008,AC_DEMO_SYNTH,-0.0047,0.0016,94.356,93.781,75.485,75.025
0.01723,319.91,100.0,0.3,1.5509,AC_DEMO_SYNTH,-0.0052,0.0018,93.336,93.502,74.669,74.802
0.01779,319.9,100.0,0.3,1.6009,AC_DEMO_SYNTH,-0.0057,0.002,93.293,93.03,74.634,74.424
0.01834,319.89,100.0,0.4,1.6509,AC_DEMO_SYNTH,-0.0062,0.0022,93.172,93.64,74.538,74.912
0.0189,319.88,100.0,0.4,1.7009,AC_DEMO_SYNTH,-0.0068,0.0025,93.744,93.702,74.995,74.962
0.01946,319.87,100.0,0.5,1.751,AC_DEMO_SYNTH,-0.0075,0.0027,93.949,93.503,75.159,74.802
0.02001,319.85,100.0,0.5,1.801,AC_DEMO_SYNTH,-0.0082,0.003,93.448,93.55,74.758,74.84
0.02057,319.84,100.0,0.5,1.851,AC_DEMO_SYNTH,-0.009,0.0033,93.159,93.356,74.527,74.685
0.02112,319.82,100.0,0.6,1.9011,AC_DEMO_SYNTH,-0.0099,0.0037,93.163,94.045,74.53,75.236
0.02168,319.8,100.0,0.6,1.9511,AC_DEMO_SYNTH,-0.0108,0.004,93.751,93.088,75.001,74.47
0.02223,319.78,100.0,0.7,2.0011,AC_DEMO_SYNTH,-0.0118,0.0044,93.786,93.207,75.029,74.566
